,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26628895184136,1.3597733711048159,0.33994334277620397,0.906515580736544,2.152974504249292,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.626062322946176,0.453257790368272,2.26628895184136,3.1728045325779037,2.9461756373937678,4.53257790368272,3.1728045325779037
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.379603399433428,1.3597733711048159,2.152974504249292,2.8328611898017,3.96600566572238
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56657223796034,0.0,0.453257790368272,1.5864022662889519,1.4730878186968839,2.039660056657224,2.9461756373937678
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926345609065156,4.53257790368272,0.0
5,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.379603399433428,1.926345609065156,2.152974504249292,3.512747875354108
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492917847025496,3.739376770538244,3.1728045325779037,2.26628895184136
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152974504249292,1.019830028328612,1.4730878186968839,1.926345609065156,2.9461756373937678
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492917847025496,2.152974504249292,3.286118980169972,4.53257790368272
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152974504249292,1.926345609065156,2.7195467422096318,2.9461756373937678,4.192634560906516,4.872521246458924
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6997167138810199,1.5864022662889519,1.246458923512748,1.813031161473088
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7195467422096318,2.9461756373937678,2.606232294617564
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6997167138810199,2.8328611898017,3.059490084985836
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926345609065156,2.379603399433428,2.8328611898017,2.9461756373937678
19,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4730878186968839,2.039660056657224,2.492917847025496,2.7195467422096318
21,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.606232294617564,2.8328611898017,2.26628895184136,2.379603399433428,3.286118980169972,3.852691218130312,0.0
23,,,,,,,,,,,,,,,,
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9461756373937678,1.4730878186968839,2.7195467422096318
